#{"t_start": 1591108542.778246, "env_id": null}
r,l,t
-26508.558289,1238,1053.897276
-29652.715659,1484,1055.730819
-69218.390033,1533,1057.657071
-43522.428733,1419,1059.448505
-13496.027869,1561,1061.391756
-66804.51894,1210,1062.940138
-42916.379704,1278,1064.543572
-68324.047388,1145,1065.994618
-60948.21452,1120,1067.365234
-22339.778007,1050,1068.71077
-90150.446593,1113,1070.103009
-72286.084197,1086,1071.460616
-48625.738008,1134,1072.859918
-33838.242563,1045,1074.202026
-35300.401178,1018,1075.489738
-82887.935217,1294,1077.163649
-52029.780779,1177,1078.639059
-925.070124,322,1079.018411
-41059.920892,1232,1080.576683
-77564.781735,1232,1082.128441
-23152.862309,1127,1083.536111
-92936.80937,1518,1085.413725
-17396.110716,1146,1086.860168
-101283.036179,1391,1088.664262
-41731.972237,1235,1090.220789
-42395.479409,1221,1091.722173
-29396.81715,1159,1093.196032
-138535.356809,1427,1095.022966
-60480.383682,1189,1096.504491
-145121.284356,1470,1098.317051
-20744.071946,1156,1099.84254
-94360.063314,1132,1101.278024
-19080.384065,1107,1102.674981
-13739.194686,2357,1105.608034
-61455.778093,1202,1107.15717
-50215.760295,1205,1108.647704
-86489.49452,1028,1109.964847
-57964.198544,1143,1111.41468
-22358.281693,1222,1112.958285
-102643.629344,1434,1114.687555
-91554.114641,1528,1116.568671
-45316.081808,1339,1118.192991
-104977.329595,1331,1119.822895
-24780.733068,1442,1121.563661
-92678.700296,1560,1123.495363
-77232.473091,1316,1125.093417
-104000.632741,1341,1126.712732
-107081.699913,1311,1128.299084
-92021.638911,1516,1130.144801
-79177.756062,1549,1132.021104
-77690.625552,1310,1133.604453
-93741.987092,1586,1135.560062
-27619.67893,1090,1136.866701
-96964.09977,1324,1138.483909
-53197.461719,1117,1139.846073
-10554.016379,1219,1141.37366
-66022.941273,1625,1143.341377
-12881.367827,1207,1144.812157
-74503.803925,1230,1146.345455
-79860.812058,1282,1147.922807
-26127.282216,1166,1149.341787
-62170.488825,1143,1150.738121
-60012.13054,1314,1152.320041
-32361.931154,1191,1153.741268
-57146.561381,1074,1155.039002
-139648.554057,1383,1156.705951
-22484.427616,1176,1158.149011
-67738.052515,1601,1160.112462
-77133.59918,1217,1161.570497
-92716.415522,1235,1163.061202
-61893.601461,1422,1164.822868
-63570.958172,1491,1166.640993
-74209.81369,1408,1168.339015
-71238.696393,1509,1170.256681
-38673.161492,1376,1171.884968
-27207.2674,1203,1173.364818
-79492.323946,1037,1174.61693
-18400.186379,1027,1175.892695
-82560.650368,1362,1177.623559
-125598.124964,1338,1179.280198
-41138.198179,1213,1180.815791
-57961.58945,992,1182.05082
-16321.328652,1124,1183.463716
-62965.046383,1170,1184.935829
-29265.133751,1173,1186.425318
-128723.20404,1394,1188.186498
-42648.955379,1164,1189.662694
-63503.938713,1043,1190.966576
-76864.832707,1377,1192.688102
-78838.844761,1222,1194.260817
-45492.777051,1023,1195.560084
-67646.821781,1444,1197.40896
-69771.217431,1363,1199.133647
-93344.863345,1235,1200.659191
-85787.996824,1248,1202.245307
-94228.828663,1201,1203.761447
-61142.636089,1221,1205.293547
-22518.689984,1498,1207.181402
-32206.567242,1057,1208.515728
-47000.373225,1041,1209.826753
-42544.952821,1204,1211.362824
-49347.123011,1168,1212.809456
-72859.520636,1339,1214.489348
-48574.804473,1103,1215.884405
-27666.097081,1464,1217.721457
-45428.777856,1058,1219.034171
-38740.402194,1342,1220.713221
-28155.928203,1288,1222.41043
-46130.789894,1113,1223.840134
-72631.047517,1207,1225.340088
-55320.650442,1404,1227.080725
-146310.695965,1465,1228.963605
-43726.709633,1476,1230.783485
-62148.833976,1629,1232.844692
-27479.669365,1506,1234.743606
-27350.495757,1164,1236.230786
-53680.195908,1181,1237.685112
-88463.016312,1210,1239.199339
-132252.221922,1460,1241.05256
-79189.771035,1229,1242.586985
-81402.459218,1317,1244.304694
-75300.28234,1252,1245.855258
-72057.187401,1172,1247.302342
-106596.109764,1632,1249.273728
-28558.603528,1240,1250.79192
-110152.846415,1399,1252.488213
-21019.204506,1063,1253.762631
-15579.386017,1056,1255.057183
-71584.884512,1593,1257.030691
1.0,1,1257.035633
-61362.266622,1149,1258.415914
-36238.165233,1388,1260.103989
-57648.386283,1406,1261.818618
-121374.029529,1505,1263.624941
-65826.972742,1334,1265.259535
-74190.72515,1473,1267.036335
-34607.947539,1493,1268.933947
-52532.980554,1224,1270.42866
-8618.924726,1114,1271.755327
-37030.145438,1087,1273.081859
-61046.545124,1216,1274.564174
-54717.306497,1272,1276.126106
-85625.197054,1450,1277.922028
-49938.895868,1330,1279.528127
-55040.91161,1270,1281.072434
-39501.737141,1540,1282.933199
-72418.558883,1609,1284.882326
-55486.371095,1197,1286.332906
-47699.990177,1251,1287.864309
-123389.683956,1554,1289.802752
-93979.282725,1466,1291.588251
-61251.310319,1421,1293.289955
-39818.496571,1212,1294.805652
-97544.850549,1296,1296.36966
-97796.563007,1313,1297.945201
-22501.607251,1547,1299.843477
-25771.502912,1211,1301.392124
-45423.189246,1071,1302.735485
-34535.535986,1035,1304.047538
-51790.603981,1289,1305.649251
-25717.651325,1401,1307.391572
-117868.497642,1302,1309.053497
-33445.893818,1281,1310.683229
-50146.486615,1549,1312.670297
-56331.551421,1130,1314.102797
1.0,1,1314.109463
-10620.773572,1543,1316.068094
-105053.34543,1679,1318.20263
-138082.883387,1562,1320.180561
-87178.991751,1283,1321.817435
-4112.726566,750,1322.763894
-23627.354255,1426,1324.543192
-75660.501811,1591,1326.517639
-74445.673776,1584,1328.54314
-47455.419276,1242,1330.087979
-55186.554937,1480,1331.961746
-62707.759384,1400,1333.721303
-47460.430898,1527,1335.700092
-119443.204498,3483,1340.065
-91462.022049,3604,1344.594389
-43148.121078,2569,1347.814878
-32853.348529,2025,1350.390016
-28582.837264,1928,1352.871647
-23271.883615,2216,1355.653155
-67059.658879,3279,1359.793321
-55362.6224,1555,1361.729116
-75992.84018,4366,1367.207721
-67739.175979,1856,1369.558386
-4625.046998,356,1369.98637
-22846.50859,900,1371.101039
-43844.114406,1549,1373.024563
-27632.689962,1527,1374.974768
-37818.359685,2008,1377.346825
-43939.75359,1650,1379.362323
-27925.629769,1648,1381.417688
-10060.860259,1440,1383.144144
-6316.700909,1204,1384.628319
-30231.516594,1389,1386.283334
-48094.853146,2074,1388.825619
-36295.983469,1828,1391.044253
-83229.837514,3373,1395.186087
-62891.339574,1497,1397.000617
-126103.845151,6227,1404.554274
-24206.589396,2201,1407.242533
-18713.796864,1479,1409.029683
-89995.164849,1697,1411.195751
-91154.250644,4629,1416.772451
-54597.012316,1578,1418.69347
-24325.790751,1419,1420.414399
-58935.38163,1390,1422.090359
-93137.233176,1747,1424.245049
-15959.566816,1502,1426.025825
-49397.421957,2759,1429.418264
-119295.291264,1556,1431.346576
-46631.698309,1391,1433.077511
-41991.738949,2160,1435.840522
-16464.737805,1416,1437.605091
-19936.248911,1328,1439.274408
-35924.362112,1705,1441.453531
-42351.2191,1731,1443.591905
-17348.461753,1829,1445.923874
-57639.288963,1183,1447.408863
-93535.45636,1639,1449.458893
-76985.324791,1501,1451.390686
-5798.900606,845,1452.450819
-18485.262463,1231,1454.005369
-46719.38866,1522,1455.905306
-29917.164441,1400,1457.679811
-109115.499421,1724,1459.886255
-83310.200821,1113,1461.33165
-27328.070511,1946,1464.011399
-87451.908709,1646,1466.310355
-49796.71799,1638,1468.455686
-33336.32999,1310,1470.219814
-81460.97402,1426,1472.046754
-34768.96419,1464,1473.990284
-67962.560949,1180,1475.538859
-26437.553938,1683,1477.756097
-34030.300163,1149,1479.231349
-21595.939987,1628,1481.348888
-15200.725341,1323,1483.068677
-40039.425902,1251,1484.679354
-17026.843956,1620,1486.776226
-26574.709925,1282,1488.472217
-38153.489232,1445,1490.342577
-28333.297116,1296,1492.028202
-37298.96453,1140,1493.510116
-12071.381743,1904,1496.003352
-39862.208003,1261,1497.603656
-12440.498321,1446,1499.465862
-39517.004703,2468,1502.594185
-37737.097026,1105,1503.957076
-18938.152657,1147,1505.378926
-34023.71541,2117,1507.9595
1.0,1,1507.965707
-76547.192663,1198,1509.419611
-13559.77169,829,1510.44134
-59643.21507,1481,1512.230987
-107309.141661,1797,1514.392331
-34126.492365,1384,1516.081603
-12510.987117,1800,1518.256277
-35474.617353,1399,1519.961012
-35186.513187,1142,1521.351472
-74103.007091,1552,1523.314467
1.0,1,1523.319391
-85879.092912,1327,1524.935324
-24211.905312,1359,1526.582275
-13745.153687,1692,1528.621884
-29342.212123,1538,1530.484213
-40697.018908,1151,1531.873243
-20537.245599,1250,1533.404889
-27012.437024,1456,1535.143709
-36463.253485,1448,1536.926406
-20389.381197,1430,1538.655759
-17694.582866,1194,1540.08121
-27634.05094,2069,1542.642606
