#{"t_start": 1591196038.852184, "env_id": null}
r,l,t
-1325.440386,187,1428.326996
-1750.377588,171,1428.544397
-3603.23458,499,1429.200458
-1787.607032,358,1429.680831
-257.741208,211,1429.97236
-1601.733004,420,1430.529158
-3069.443466,421,1431.075634
-451.529339,295,1431.491311
-3914.247892,476,1432.097119
-1302.791295,424,1432.664169
-1049.988445,107,1432.796201
-15.632998,129,1432.962789
-3160.319305,496,1433.619342
-2569.45109,441,1434.224941
-336.433485,323,1434.62492
-1427.956394,330,1435.057958
-311.819227,66,1435.14351
1.0,1,1435.145477
-4227.68252,595,1435.936944
-1222.95067,300,1436.319339
-2552.774732,302,1436.732977
-2313.273338,965,1437.992079
-139.900715,102,1438.1357
-359.119257,326,1438.595977
-1693.170865,501,1439.252162
-2316.411044,306,1439.64938
-1019.540133,266,1439.99964
-272.418447,54,1440.074761
-1273.462258,203,1440.335818
-3094.501991,355,1440.821027
-1127.95333,118,1440.971952
-2288.366792,345,1441.396796
-1309.268287,363,1441.857346
-344.648736,548,1442.568311
-1290.126935,123,1442.745742
-1041.424429,384,1443.215907
-1153.814703,202,1443.471803
-140.319092,104,1443.606114
-1819.982724,397,1444.110027
1.0,1,1444.113455
-1957.025238,296,1444.471913
-338.716383,360,1444.955035
-2674.575831,209,1445.242653
-3300.864515,441,1445.773379
-474.272488,238,1446.083962
-1637.572506,276,1446.434204
-1177.80812,518,1447.092703
-799.958429,335,1447.545052
-109.34572,156,1447.72351
-1096.073334,384,1448.224916
-2548.897354,183,1448.484558
-2751.750532,756,1449.413324
-2415.54638,288,1449.811448
-3252.042738,611,1450.545679
-831.59494,297,1450.937985
-3329.803409,535,1451.608547
-776.36398,302,1451.995298
-4671.367844,357,1452.464988
-2328.339256,163,1452.67374
-36.847908,178,1452.933206
-1120.888237,363,1453.382805
-2563.589706,271,1453.726479
-53.167279,131,1453.909589
-1589.824287,316,1454.285584
-459.312249,192,1454.553241
-74.852913,127,1454.700459
-2370.2749,290,1455.064709
-698.414296,312,1455.461272
-387.570905,170,1455.686406
-772.466692,234,1455.988681
-1452.076359,470,1456.570979
-1004.885136,296,1456.961298
-933.706001,241,1457.241341
-3872.746455,370,1457.732901
-980.870887,361,1458.184038
-635.355777,270,1458.522954
-1497.265923,351,1459.003903
-772.496613,480,1459.616951
-1369.040496,430,1460.149733
